file,Intent,Proxy,Facets,TrustBoundaries,Initialization,postDeploy,RuntimeInvariants,RequiredTests,Validation
AerodromeStandardExchangeDFPkg.md,1,1,1,1,1,0,1,1,1
AerodromeStandardExchangeInTarget.md,1,0,0,0,0,0,0,0,1
AerodromeStandardExchangeOutTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeBatchRouterExactInTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeBatchRouterExactOutTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeBatchRouterTargets.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeRouterDFPkg.md,1,1,1,1,1,0,1,1,1
BalancerV3StandardExchangeRouterExactInQueryTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeRouterExactInSwapTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeRouterExactOutQueryTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeRouterExactOutSwapTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeRouterPrepayHooksTarget.md,1,0,0,0,0,0,0,0,1
BalancerV3StandardExchangeRouterPrepayTarget.md,1,0,0,0,0,0,0,0,1
CamelotV2StandardExchangeDFPkg.md,1,1,1,1,1,0,1,1,1
CamelotV2StandardExchangeInTarget.md,1,0,0,0,0,0,0,0,1
CamelotV2StandardExchangeOutTarget.md,1,0,0,0,0,0,0,0,1
CounterDFPkg.md,1,1,0,1,1,0,1,0,1
FeeCollectorDFPkg.md,1,1,1,1,1,0,1,1,1
IndexedexManagerDFPkg.md,1,1,1,1,1,0,1,1,1
PermissionedGreeterDFPkg.md,1,1,0,1,1,0,1,1,1
ProtocolDETFBondingQueryTarget.md,1,0,0,0,0,0,0,0,1
ProtocolDETFBondingTarget.md,1,0,0,0,0,0,0,0,1
ProtocolDETFDFPkg.md,1,1,1,1,1,0,0,1,1
ProtocolDETFExchangeInQueryTarget.md,1,0,0,0,0,0,0,0,1
ProtocolDETFExchangeInTarget.md,1,0,0,0,0,0,0,0,1
ProtocolDETFExchangeOutTarget.md,1,0,0,0,0,0,0,0,1
ProtocolNFTVaultDFPkg.md,1,1,1,1,1,0,1,1,1
ProtocolNFTVaultTarget.md,1,0,0,0,0,0,0,0,1
REVIEWER_REQUIREMENTS.md,0,1,0,0,0,0,1,0,0
RICHIRDFPkg.md,1,1,1,1,1,0,1,1,1
RICHIRTarget.md,1,0,0,0,0,0,0,0,1
SeigniorageDETFDFPkg.md,1,1,1,1,1,0,1,1,1
SeigniorageDETFExchangeInTarget.md,1,0,0,0,0,0,0,0,1
SeigniorageDETFExchangeOutTarget.md,1,0,0,0,0,0,0,0,1
SeigniorageDETFUnderwritingTarget.md,1,0,0,0,0,0,0,0,1
SeigniorageNFTVaultDFPkg.md,1,1,1,1,1,0,1,1,1
SeigniorageNFTVaultTarget.md,1,0,0,0,0,0,0,0,1
StandardExchangeRateProviderDFPkg.md,1,1,0,1,1,0,1,1,1
StandardExchangeSingleVaultSeigniorageDETFExchangeInTarget.md,1,0,0,0,0,0,0,0,1
StandardExchangeSingleVaultSeigniorageDETFExchangeOutTarget.md,1,0,0,0,0,0,0,0,1
UniswapV2StandardExchangeDFPkg.md,1,1,1,1,1,0,1,1,1
UniswapV2StandardExchangeInTarget.md,1,0,0,0,0,0,0,0,1
UniswapV2StandardExchangeOutTarget.md,1,0,0,0,0,0,0,0,1
